nohup: ignoring input
Loaded 6641 samples from splits/train_scenario_1-1.json with vision_model=faster_rcnn
Loaded 2861 samples from splits/test_scenario_1-1.json with vision_model=faster_rcnn

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4246.67it/s]

Training:   3%|▎         | 90/3321 [00:34<19:35,  2.75it/s, loss=1.51, match=1.13, det=0.166]
Training:   3%|▎         | 90/3321 [00:34<19:35,  2.75it/s, loss=1.73, match=1.32, det=0.179]
Training:   3%|▎         | 91/3321 [00:34<20:00,  2.69it/s, loss=1.73, match=1.32, det=0.179]
Training:   3%|▎         | 91/3321 [00:35<20:00,  2.69it/s, loss=1.45, match=1.13, det=0.106]
Training:   3%|▎         | 92/3321 [00:35<20:16,  2.66it/s, loss=1.45, match=1.13, det=0.106]
Training:   3%|▎         | 92/3321 [00:35<20:16,  2.66it/s, loss=1.52, match=1.18, det=0.117]
Training:   3%|▎         | 93/3321 [00:35<19:55,  2.70it/s, loss=1.52, match=1.18, det=0.117]
Training:   3%|▎         | 93/3321 [00:35<19:55,  2.70it/s, loss=1.64, match=1.23, det=0.193]
Training:   3%|▎         | 94/3321 [00:35<19:50,  2.71it/s, loss=1.64, match=1.23, det=0.193]
Training:   3%|▎         | 94/3321 [00:36<19:50,  2.71it/s, loss=1.53, match=1.19, det=0.118]
Training:   3%|▎         | 95/3321 [00:36<19:32,  2.75it/s, loss=1.53, match=1.19, det=0.118]
Training:   3%|▎         | 95/3321 [00:36<19:32,  2.75it/s, loss=1.63, match=1.29, det=0.127]
Training:   3%|▎         | 96/3321 [00:36<19:28,  2.76it/s, loss=1.63, match=1.29, det=0.127]
Training:   3%|▎         | 96/3321 [00:36<19:28,  2.76it/s, loss=1.67, match=1.28, det=0.186]
Training:   3%|▎         | 97/3321 [00:36<19:32,  2.75it/s, loss=1.67, match=1.28, det=0.186]
Training:   3%|▎         | 97/3321 [00:37<19:32,  2.75it/s, loss=1.57, match=1.24, det=0.113]
Training:   3%|▎         | 98/3321 [00:37<19:35,  2.74it/s, loss=1.57, match=1.24, det=0.113]
Training:   3%|▎         | 98/3321 [00:37<19:35,  2.74it/s, loss=1.49, match=1.19, det=0.0869]
Training:   3%|▎         | 99/3321 [00:37<19:14,  2.79it/s, loss=1.49, match=1.19, det=0.0869]
Training:   3%|▎         | 99/3321 [00:37<19:14,  2.79it/s, loss=1.25, match=0.991, det=0.0528]
Training:   3%|▎         | 100/3321 [00:37<19:10,  2.80it/s, loss=1.25, match=0.991, det=0.0528]
Training:   3%|▎         | 100/3321 [00:38<19:10,  2.80it/s, loss=1.92, match=1.49, det=0.205]  
Training:   3%|▎         | 101/3321 [00:38<19:12,  2.79it/s, loss=1.92, match=1.49, det=0.205]
Training:   3%|▎         | 101/3321 [00:38<19:12,  2.79it/s, loss=1.52, match=1.22, det=0.0757]
Training:   3%|▎         | 102/3321 [00:38<19:29,  2.75it/s, loss=1.52, match=1.22, det=0.0757]
Training:   3%|▎         | 102/3321 [00:39<19:29,  2.75it/s, loss=1.75, match=1.4, det=0.146]  
Training:   3%|▎         | 103/3321 [00:39<19:38,  2.73it/s, loss=1.75, match=1.4, det=0.146]
Training:   3%|▎         | 103/3321 [00:39<19:38,  2.73it/s, loss=1.8, match=1.41, det=0.175]
Training:   3%|▎         | 104/3321 [00:39<19:36,  2.73it/s, loss=1.8, match=1.41, det=0.175]
Training:   3%|▎         | 104/3321 [00:39<19:36,  2.73it/s, loss=1.37, match=1.08, det=0.0827]
Training:   3%|▎         | 105/3321 [00:39<19:29,  2.75it/s, loss=1.37, match=1.08, det=0.0827]
Training:   3%|▎         | 105/3321 [00:40<19:29,  2.75it/s, loss=1.12, match=0.875, det=0.0328]
Training:   3%|▎         | 106/3321 [00:40<19:19,  2.77it/s, loss=1.12, match=0.875, det=0.0328]
Training:   3%|▎         | 106/3321 [00:40<19:19,  2.77it/s, loss=1.74, match=1.31, det=0.222]  
Training:   3%|▎         | 107/3321 [00:40<19:07,  2.80it/s, loss=1.74, match=1.31, det=0.222]
Training:   3%|▎         | 107/3321 [00:40<19:07,  2.80it/s, loss=1.66, match=1.13, det=0.327]
Training:   3%|▎         | 108/3321 [00:40<19:15,  2.78it/s, loss=1.66, match=1.13, det=0.327]
Training:   3%|▎         | 108/3321 [00:41<19:15,  2.78it/s, loss=1.67, match=1.32, det=0.138]
Training:   3%|▎         | 109/3321 [00:41<19:08,  2.80it/s, loss=1.67, match=1.32, det=0.138]
Training:   3%|▎         | 109/3321 [00:41<19:08,  2.80it/s, loss=1.54, match=1.25, det=0.0831]
Training:   3%|▎         | 110/3321 [00:41<19:00,  2.82it/s, loss=1.54, match=1.25, det=0.0831]
Training:   3%|▎         | 110/3321 [00:41<19:00,  2.82it/s, loss=1.71, match=1.26, det=0.231] 
Training:   3%|▎         | 111/3321 [00:41<19:09,  2.79it/s, loss=1.71, match=1.26, det=0.231]
Training:   3%|▎         | 111/3321 [00:42<19:09,  2.79it/s, loss=1.72, match=1.32, det=0.191]
Training:   3%|▎         | 112/3321 [00:42<19:22,  2.76it/s, loss=1.72, match=1.32, det=0.191]
Training:   3%|▎         | 112/3321 [00:42<19:22,  2.76it/s, loss=1.38, match=1.09, det=0.0897]
Training:   3%|▎         | 113/3321 [00:42<19:14,  2.78it/s, loss=1.38, match=1.09, det=0.0897]
Training:   3%|▎         | 113/3321 [00:42<19:14,  2.78it/s, loss=1.93, match=1.35, det=0.377] 
Training:   3%|▎         | 114/3321 [00:42<19:36,  2.73it/s, loss=1.93, match=1.35, det=0.377]
Training:   3%|▎         | 114/3321 [00:43<19:36,  2.73it/s, loss=1.47, match=1.14, det=0.111]
Training:   3%|▎         | 115/3321 [00:43<19:32,  2.74it/s, loss=1.47, match=1.14, det=0.111]
Training:   3%|▎         | 115/3321 [00:43<19:32,  2.74it/s, loss=1.28, match=1.01, det=0.0594]
Training:   3%|▎         | 116/3321 [00:43<19:08,  2.79it/s, loss=1.28, match=1.01, det=0.0594]
Training:   3%|▎         | 116/3321 [00:44<19:08,  2.79it/s, loss=1.5, match=1.17, det=0.1]    
Training:   4%|▎         | 117/3321 [00:44<18:57,  2.82it/s, loss=1.5, match=1.17, det=0.1]
Training:   4%|▎         | 117/3321 [00:44<18:57,  2.82it/s, loss=1.56, match=1.19, det=0.16]
Training:   4%|▎         | 118/3321 [00:44<19:05,  2.80it/s, loss=1.56, match=1.19, det=0.16]
Training:   4%|▎         | 118/3321 [00:44<19:05,  2.80it/s, loss=1.4, match=1.11, det=0.0949]
Training:   4%|▎         | 119/3321 [00:44<19:02,  2.80it/s, loss=1.4, match=1.11, det=0.0949]
Training:   4%|▎         | 119/3321 [00:45<19:02,  2.80it/s, loss=1.4, match=1.1, det=0.115]  
Training:   4%|▎         | 120/3321 [00:45<19:32,  2.73it/s, loss=1.4, match=1.1, det=0.115]
Training:   4%|▎         | 120/3321 [00:45<19:32,  2.73it/s, loss=0.36, match=0, det=0.154] 
Training:   4%|▎         | 121/3321 [00:45<19:17,  2.76it/s, loss=0.36, match=0, det=0.154]
Training:   4%|▎         | 121/3321 [00:45<19:17,  2.76it/s, loss=0.302, match=0, det=0.107]
Training:   4%|▎         | 122/3321 [00:45<19:50,  2.69it/s, loss=0.302, match=0, det=0.107]
Training:   4%|▎         | 122/3321 [00:46<19:50,  2.69it/s, loss=1.43, match=1.12, det=0.105]
Training:   4%|▎         | 123/3321 [00:46<19:44,  2.70it/s, loss=1.43, match=1.12, det=0.105]
Training:   4%|▎         | 123/3321 [00:46<19:44,  2.70it/s, loss=1.68, match=1.35, det=0.121]
Training:   4%|▎         | 124/3321 [00:46<19:34,  2.72it/s, loss=1.68, match=1.35, det=0.121]
Training:   4%|▎         | 124/3321 [00:46<19:34,  2.72it/s, loss=1.52, match=1.19, det=0.128]
